구분,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
서울시 평균,26,17,27,38,19,28,21,11,15,12,35,38,49,30,11,13,11,9,23,15,18,13,11,14,19,15,15,16,21,24,16
강남구,29,19,28,40,20,30,22,11,14,12,36,39,54,32,12,13,12,10,23,18,18,15,11,16,19,15,15,17,19,21,17
강동구,26,15,39,37,19,28,22,11,16,11,34,40,48,30,9,11,9,6,20,13,15,10,10,12,15,10,13,15,18,25,16
강북구,23,17,22,34,16,27,21,9,16,11,33,36,47,32,9,10,8,7,23,16,16,12,10,12,20,17,18,18,21,23,17
강서구,25,16,26,39,21,29,21,11,15,12,34,35,46,28,13,14,11,9,25,15,18,14,10,12,18,13,14,15,21,27,18
관악구,30,21,31,41,21,32,24,14,19,15,42,43,54,32,14,16,14,12,28,18,24,17,14,19,22,18,18,20,24,27,19
광진구,27,19,26,39,19,30,23,13,16,13,37,38,53,33,12,13,12,10,24,17,20,15,13,16,20,15,17,19,23,25,17
구로구,28,14,27,37,16,27,17,7,13,10,38,42,47,26,9,10,8,7,21,11,15,8,7,10,15,11,11,13,16,22,12
금천구,24,17,30,36,18,27,22,11,15,11,35,40,48,27,11,13,12,9,22,14,20,14,12,17,19,17,14,15,20,24,15
노원구,28,18,26,40,22,30,17,14,21,16,39,42,50,33,10,12,11,10,27,18,20,15,13,16,21,17,17,18,24,27,19
도봉구,19,14,20,32,14,23,19,8,13,8,28,32,42,27,7,7,6,6,18,12,13,8,7,9,15,11,10,12,16,18,11
동대문구,29,19,28,40,21,31,23,11,15,14,38,39,54,35,12,14,12,11,27,18,21,16,13,16,23,17,18,18,26,29,20
동작구,27,19,29,38,18,29,22,12,16,14,36,40,50,30,12,14,13,10,23,16,21,16,12,14,21,16,17,18,18,,16
마포구,25,17,24,37,19,28,21,12,16,13,35,36,47,31,13,14,11,10,24,16,20,14,13,16,22,16,18,19,23,26,18
서대문구,27,14,25,37,19,27,21,10,16,11,35,37,45,28,10,13,9,9,23,13,18,12,11,12,18,13,15,15,20,23,15
서초구,30,17,29,41,18,26,20,9,15,11,39,41,49,26,12,13,9,7,23,13,17,14,9,13,20,13,13,14,19,25,15
성동구,26,17,25,38,17,29,21,11,15,12,35,36,50,31,10,12,11,9,23,15,19,14,11,15,20,15,16,17,21,24,16
성북구,27,18,25,41,21,29,23,13,15,12,36,40,47,31,11,14,11,10,24,16,20,15,12,14,19,15,15,17,20,27,16
송파구,29,19,27,38,18,30,22,13,16,13,37,39,54,32,16,16,13,10,23,17,21,15,13,18,22,18,18,20,24,27,19
양천구,22,16,21,34,15,23,17,9,13,10,33,35,45,28,11,14,13,9,20,12,13,10,10,11,16,11,13,13,17,14,12
영등포구,23,18,24,34,18,27,19,11,15,12,35,36,46,30,13,15,12,11,25,16,19,15,13,15,21,16,16,17,21,23,16
용산구,28,18,30,39,20,30,23,12,16,14,37,39,54,31,12,14,12,10,25,16,20,15,12,15,21,17,17,17,22,27,18
은평구,27,16,27,39,20,28,22,11,17,12,35,38,47,29,11,13,9,8,24,14,17,13,12,13,20,15,14,16,22,25,16
종로구,24,16,26,38,18,28,20,10,13,11,34,36,47,30,9,11,10,9,24,15,19,13,11,14,20,14,15,15,22,24,16
중구,23,15,23,34,15,25,18,8,13,9,30,34,41,26,10,11,9,9,22,13,16,13,11,12,18,13,15,15,21,22,15
중랑구,26,17,27,39,20,28,22,12,15,13,34,37,52,31,11,11,10,9,24,17,19,14,12,15,19,15,16,19,23,25,18
