기간별 통계 ( 일별 평균 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측정기간 : 2024. 08월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측정물질 : 미세먼지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
서울시 평균,24,19,27,31,29,28,16,18,20,27,32,28,27,25,24,22,21,21,20,25,25,12,15,29,39,37,36,21,13,10,14,36
강남구,27,20,30,34,33,31,17,24,22,32,35,32,32,30,27,25,26,21,21,28,27,15,19,35,41,41,41,22,14,11,15,38
강동구,22,16,25,32,26,21,16,19,19,28,30,23,26,24,20,17,18,17,14,20,18,10,13,26,41,37,37,20,13,8,15,38
강북구,24,14,34,32,32,28,17,17,22,25,30,30,29,21,24,22,20,21,21,25,24,13,16,30,42,38,34,21,15,10,14,32
강서구,24,18,26,27,24,28,15,17,21,24,31,24,21,25,28,25,22,26,24,29,26,12,16,29,39,37,36,23,13,9,16,36
관악구,28,23,34,32,31,35,20,20,22,33,39,30,27,30,28,26,25,25,26,28,29,16,19,37,44,41,42,21,16,11,17,41
광진구,26,20,30,34,35,27,18,23,23,31,34,31,31,28,24,22,22,22,20,25,24,13,17,29,42,41,39,21,14,10,14,36
구로구,20,14,20,25,24,27,14,14,16,26,31,23,22,22,23,20,17,18,15,19,19,6,9,21,32,29,29,14,7,4,10,35
금천구,25,19,28,27,28,35,25,19,19,29,33,26,25,26,26,23,22,24,23,30,27,13,16,28,40,36,39,22,13,9,13,35
노원구,25,20,27,33,32,27,19,20,22,27,33,31,30,27,24,20,20,18,19,25,26,13,16,31,41,38,36,22,15,10,15,38
도봉구,18,13,19,24,24,19,10,11,16,19,24,24,22,18,16,14,14,15,13,19,19,10,11,24,35,30,29,18,10,8,13,30
동대문구,28,23,33,39,36,30,18,22,23,31,37,35,33,27,28,24,24,24,21,28,28,16,19,34,44,46,42,24,16,11,16,40
동작구,25,20,29,30,29,31,18,20,20,30,34,29,26,26,24,23,24,22,21,25,26,13,17,28,39,38,40,23,15,11,15,37
마포구,26,20,30,33,29,31,18,19,22,28,34,30,26,29,27,26,24,26,24,26,29,15,19,29,38,39,36,22,15,11,17,38
서대문구,21,18,24,31,27,24,16,15,19,24,28,26,24,21,22,21,19,20,17,22,21,11,12,26,33,32,29,17,11,9,13,33
서초구,23,19,26,29,24,28,15,16,18,32,33,25,26,27,25,23,21,18,15,21,23,7,11,25,36,34,35,21,13,7,16,38
성동구,25,20,27,33,31,27,16,20,21,29,34,31,29,26,24,23,22,21,20,24,26,13,16,28,40,41,39,22,15,11,16,38
성북구,23,18,27,31,29,24,16,15,20,27,31,28,26,23,23,19,19,21,17,23,23,12,14,27,38,36,33,19,13,9,13,35
송파구,27,22,30,34,33,30,19,25,22,33,37,32,34,33,28,26,23,22,21,27,26,13,17,30,44,40,41,24,15,11,16,40
양천구,21,13,24,24,22,26,13,12,20,21,28,23,19,20,22,21,19,23,20,25,25,14,13,25,34,34,34,22,13,9,14,33
영등포구,25,18,26,28,27,30,17,18,20,26,32,26,25,26,26,24,22,24,23,27,28,15,16,28,38,36,36,23,16,11,16,35
용산구,27,22,27,35,33,30,17,20,22,30,36,32,32,29,26,27,24,23,22,28,28,13,17,31,43,44,42,25,16,11,17,41
은평구,22,18,26,32,26,27,16,15,19,23,28,26,25,20,23,20,19,20,18,24,23,11,15,30,36,33,31,16,10,8,14,33
종로구,23,18,27,33,29,27,14,17,19,26,31,27,27,22,23,21,19,20,17,23,23,12,16,28,37,37,34,20,12,9,13,33
중구,22,17,26,29,27,26,12,15,16,23,26,25,23,20,20,19,19,19,19,22,23,14,16,27,36,36,33,19,12,11,12,32
중랑구,25,20,27,37,34,26,16,20,22,28,33,29,30,26,25,20,22,20,18,24,24,12,16,30,42,43,40,21,14,9,12,33
