,구분,일,미세먼지,사용일자
0,서울시 평균,1,19,20240801
1,강남구,1,20,20240801
2,강동구,1,16,20240801
3,강북구,1,14,20240801
4,강서구,1,18,20240801
5,관악구,1,23,20240801
6,광진구,1,20,20240801
7,구로구,1,14,20240801
8,금천구,1,19,20240801
9,노원구,1,20,20240801
10,도봉구,1,13,20240801
11,동대문구,1,23,20240801
12,동작구,1,20,20240801
13,마포구,1,20,20240801
14,서대문구,1,18,20240801
15,서초구,1,19,20240801
16,성동구,1,20,20240801
17,성북구,1,18,20240801
18,송파구,1,22,20240801
19,양천구,1,13,20240801
20,영등포구,1,18,20240801
21,용산구,1,22,20240801
22,은평구,1,18,20240801
23,종로구,1,18,20240801
24,중구,1,17,20240801
25,중랑구,1,20,20240801
26,서울시 평균,2,27,20240802
27,강남구,2,30,20240802
28,강동구,2,25,20240802
29,강북구,2,34,20240802
30,강서구,2,26,20240802
31,관악구,2,34,20240802
32,광진구,2,30,20240802
33,구로구,2,20,20240802
34,금천구,2,28,20240802
35,노원구,2,27,20240802
36,도봉구,2,19,20240802
37,동대문구,2,33,20240802
38,동작구,2,29,20240802
39,마포구,2,30,20240802
40,서대문구,2,24,20240802
41,서초구,2,26,20240802
42,성동구,2,27,20240802
43,성북구,2,27,20240802
44,송파구,2,30,20240802
45,양천구,2,24,20240802
46,영등포구,2,26,20240802
47,용산구,2,27,20240802
48,은평구,2,26,20240802
49,종로구,2,27,20240802
50,중구,2,26,20240802
51,중랑구,2,27,20240802
52,서울시 평균,3,31,20240803
53,강남구,3,34,20240803
54,강동구,3,32,20240803
55,강북구,3,32,20240803
56,강서구,3,27,20240803
57,관악구,3,32,20240803
58,광진구,3,34,20240803
59,구로구,3,25,20240803
60,금천구,3,27,20240803
61,노원구,3,33,20240803
62,도봉구,3,24,20240803
63,동대문구,3,39,20240803
64,동작구,3,30,20240803
65,마포구,3,33,20240803
66,서대문구,3,31,20240803
67,서초구,3,29,20240803
68,성동구,3,33,20240803
69,성북구,3,31,20240803
70,송파구,3,34,20240803
71,양천구,3,24,20240803
72,영등포구,3,28,20240803
73,용산구,3,35,20240803
74,은평구,3,32,20240803
75,종로구,3,33,20240803
76,중구,3,29,20240803
77,중랑구,3,37,20240803
78,서울시 평균,4,29,20240804
79,강남구,4,33,20240804
80,강동구,4,26,20240804
81,강북구,4,32,20240804
82,강서구,4,24,20240804
83,관악구,4,31,20240804
84,광진구,4,35,20240804
85,구로구,4,24,20240804
86,금천구,4,28,20240804
87,노원구,4,32,20240804
88,도봉구,4,24,20240804
89,동대문구,4,36,20240804
90,동작구,4,29,20240804
91,마포구,4,29,20240804
92,서대문구,4,27,20240804
93,서초구,4,24,20240804
94,성동구,4,31,20240804
95,성북구,4,29,20240804
96,송파구,4,33,20240804
97,양천구,4,22,20240804
98,영등포구,4,27,20240804
99,용산구,4,33,20240804
100,은평구,4,26,20240804
101,종로구,4,29,20240804
102,중구,4,27,20240804
103,중랑구,4,34,20240804
104,서울시 평균,5,28,20240805
105,강남구,5,31,20240805
106,강동구,5,21,20240805
107,강북구,5,28,20240805
108,강서구,5,28,20240805
109,관악구,5,35,20240805
110,광진구,5,27,20240805
111,구로구,5,27,20240805
112,금천구,5,35,20240805
113,노원구,5,27,20240805
114,도봉구,5,19,20240805
