,사용일자,노선명,역명,합계,구분
0,20240601,경부선,신도림,7909,구로구
20237,20240601,4호선,명동,75139,중구
20145,20240601,4호선,회현,56518,중구
20053,20240601,4호선,숙대입구,24638,용산구
19688,20240601,6호선,삼각지,16534,용산구
736,20240601,7호선,남구로,18350,구로구
19507,20240601,경원선,창동,6,도봉구
19141,20240601,7호선,노원,46674,노원구
19046,20240601,4호선,상계,31604,노원구
20329,20240601,4호선,충무로,42173,중구
22077,20240601,6호선,상월곡,9276,성북구
21985,20240601,6호선,돌곶이,14660,성북구
21893,20240601,5호선,아차산,31116,광진구
21801,20240601,5호선,장한평,27662,동대문구
21709,20240601,4호선,혜화,73442,종로구
21617,20240601,4호선,쌍문,47076,도봉구
21525,20240601,4호선,수유,59620,강북구
18954,20240601,4호선,당고개,16413,노원구
21433,20240601,4호선,미아,24964,강북구
21249,20240601,4호선,길음,34844,성북구
21157,20240601,4호선,한성대입구,25868,성북구
20792,20240601,1호선,동대문,26158,종로구
20697,20240601,5호선,답십리,23182,성동구
21341,20240601,4호선,미아사거리,49073,강북구
22169,20240601,6호선,월곡,17534,성북구
18497,20240601,2호선,교대,40192,서초구
17022,20240601,3호선,오금,8727,송파구
16930,20240601,4호선,신용산,34414,용산구
16747,20240601,경원선,이촌,7205,용산구
16654,20240601,5호선,여의나루,43345,영등포구
16562,20240601,5호선,마포,18860,마포구
15833,20240601,공항철도 1호선,공덕,6313,마포구
15734,20240601,5호선,애오개,9157,마포구
17390,20240601,3호선,경찰병원,9369,송파구
18402,20240601,3호선,남부터미널,47820,서초구
18310,20240601,3호선,양재,48228,서초구
18218,20240601,3호선,매봉,14508,강남구
18035,20240601,분당선,도곡,10952,강남구
17942,20240601,3호선,대치,22692,강남구
17850,20240601,3호선,학여울,5313,강남구
17666,20240601,3호선,일원,13104,강남구
828,20240601,7호선,대림,18344,구로구
17483,20240601,분당선,수서,29751,강남구
17758,20240601,3호선,대청,15589,강남구
22261,20240601,6호선,고려대,13476,성북구
22353,20240601,6호선,안암,16472,성북구
22445,20240601,6호선,창신,4655,종로구
27166,20240601,5호선,강동,28317,강동구
27074,20240601,5호선,길동,14531,강동구
26982,20240601,5호선,굽은다리,17053,강동구
26890,20240601,5호선,명일,14177,강동구
26798,20240601,5호선,고덕,15993,강동구
26706,20240601,5호선,상일동,21727,강동구
26614,20240601,5호선,둔촌동,15611,강동구
26522,20240601,5호선,방이,12731,송파구
26430,20240601,5호선,개롱,10459,송파구
26338,20240601,5호선,거여,14881,송파구
26246,20240601,5호선,마천,11474,송파구
26154,20240601,6호선,대흥,13820,마포구
25971,20240601,경의선,효창공원앞,4866,용산구
25878,20240601,7호선,하계,28058,노원구
27258,20240601,5호선,광나루,25571,광진구
27350,20240601,5호선,강일,9440,강동구
27442,20240601,6호선,광흥창,12487,마포구
27534,20240601,6호선,상수,23920,마포구
28733,20240601,3호선,연신내,61415,은평구
28638,20240601,6호선,구산,12277,은평구
28546,20240601,6호선,증산,16412,은평구
28272,20240601,공항철도 1호선,디지털미디어시티,15394,은평구
460,20240601,7호선,천왕,15736,구로구
28178,20240601,6호선,월드컵경기장,18467,마포구
28086,20240601,6호선,마포구청,20992,마포구
27994,20240601,6호선,망원,35040,마포구
27629,20240601,2호선,합정,72846,마포구
25758,20240601,경춘선,신내,3816,중랑구
25574,20240601,경원선,도봉산,18342,도봉구
552,20240601,7호선,가산디지털단지,29943,금천구
23733,20240601,6호선,한강진,24025,용산구
23641,20240601,6호선,버티고개,3673,중구
23276,20240601,3호선,약수,21106,중구
23825,20240601,6호선,이태원,34148,용산구
22907,20240601,2호선,신당,28303,중구
22540,20240601,1호선,동묘앞,32369,종로구
15369,20240601,2호선,충정로,14664,서대문구
23917,20240601,6호선,녹사평,14026,용산구
24010,20240601,경원선,석계,15356,노원구
25481,20240601,7호선,수락산,22989,노원구
25389,20240601,7호선,마들,20885,노원구
25297,20240601,7호선,중계,23122,노원구
25205,20240601,7호선,공릉,20902,노원구
25113,20240601,7호선,먹골,17622,중랑구
25021,20240601,7호선,중화,17103,중랑구
24929,20240601,7호선,면목,23481,중랑구
24745,20240601,7호선,용마산,10545,중랑구
24653,20240601,6호선,봉화산,12331,중랑구
24561,20240601,6호선,화랑대,15593,노원구
24196,20240601,7호선,태릉입구,16794,노원구
24837,20240601,7호선,사가정,27819,중랑구
29092,20240601,6호선,독바위,4956,은평구
6260,20240601,1호선,신설동,23484,동대문구
6075,20240601,6호선,보문,12141,성북구
5982,20240601,7호선,청담,26167,강남구
5799,20240601,분당선,강남구청,13241,강남구
5706,20240601,7호선,학동,26088,강남구
5614,20240601,7호선,논현,25872,강남구
5522,20240601,7호선,반포,11510,서초구
4975,20240601,3호선,고속터미널,121453,서초구
6810,20240601,경부선,신길,13590,영등포구
8098,20240601,9호선2~3단계,한성백제,5097,송파구
7733,20240601,5호선,올림픽공원,14810,송파구
7638,20240601,9호선2~3단계,둔촌오륜,1983,강동구
7546,20240601,9호선2~3단계,중앙보훈병원,12903,강동구
1288,20240601,7호선,보라매,11531,동작구
7363,20240601,2호선,당산,30614,영등포구
7179,20240601,5호선,여의도,35624,영등포구
6995,20240601,4호선,동작,4603,동작구
8190,20240601,9호선2~3단계,송파나루,10458,송파구
4695,20240601,7호선,이수,28371,동작구
2946,20240601,8호선,복정,12915,송파구
2579,20240601,공항철도 1호선,김포공항,14872,강서구
2211,20240601,2호선,잠실,152628,송파구
2116,20240601,8호선,강동구청,13780,강동구
1751,20240601,5호선,천호,38788,강동구
1656,20240601,7호선,상도,18639,동작구
3130,20240601,8호선,장지,25522,송파구
3222,20240601,8호선,문정,22293,송파구
1472,20240601,7호선,신대방삼거리,22891,동작구
4602,20240601,7호선,남성,17412,동작구
4419,20240601,7호선,상봉,32014,중랑구
4235,20240601,4호선,성신여대입구,40130,성북구
4142,20240601,8호선,몽촌토성,12225,송파구
4878,20240601,7호선,내방,18727,서초구
3777,20240601,9호선2~3단계,석촌,16809,송파구
3682,20240601,8호선,송파,14248,송파구
3317,20240601,3호선,가락시장,14383,송파구
8282,20240601,9호선2~3단계,석촌고분,11155,송파구
8374,20240601,9호선2~3단계,삼전,11559,송파구
8466,20240601,9호선2~3단계,종합운동장,8801,송파구
13161,20240601,4호선,동대문역사문화공원,35083,중구
12793,20240601,6호선,청구,5946,중구
12698,20240601,5호선,신금호,10664,성동구
12606,20240601,5호선,행당,12044,성동구
12059,20240601,경원선,왕십리,33936,성동구
15274,20240601,5호선,서대문,19872,종로구
15182,20240601,5호선,광화문,52861,종로구
14362,20240601,3호선,종로3가,24129,종로구
13989,20240601,2호선,을지로4가,21677,중구
11962,20240601,5호선,마장,9023,성동구
11870,20240601,5호선,영등포시장,21900,영등포구
11505,20240601,2호선,영등포구청,30471,영등포구
9846,20240601,5호선,양평,8913,영등포구
9754,20240601,7호선,중곡,15797,광진구
9389,20240601,5호선,군자,21917,광진구
1196,20240601,7호선,신풍,17070,영등포구
9294,20240601,7호선,어린이대공원,28243,광진구
9019,20240601,분당선,선정릉,7660,강남구
8926,20240601,9호선2~3단계,삼성중앙,7499,강남구
8834,20240601,9호선2~3단계,봉은사,34067,강남구
9202,20240601,9호선2~3단계,언주,15793,강남구
10030,20240601,5호선,오목교,36435,양천구
10214,20240601,5호선,신정,19050,양천구
11137,20240601,2호선,사당,81388,동작구
10122,20240601,5호선,목동,26966,양천구
11042,20240601,4호선,남태령,2276,서초구
10858,20240601,5호선,개화산,8894,강서구
10766,20240601,5호선,송정,10876,강서구
10674,20240601,5호선,마곡,15588,강서구
10582,20240601,5호선,발산,36221,강서구
10490,20240601,5호선,우장산,23883,강서구
10398,20240601,5호선,화곡,44886,강서구
10306,20240601,5호선,까치산,45914,강서구
10950,20240601,5호선,방화,11287,강서구
29184,20240601,6호선,불광,8044,은평구
18862,20240601,3호선,잠원,8226,서초구
31484,20240601,2호선,뚝섬,49908,성동구
31576,20240601,2호선,성수,74941,성동구
31668,20240601,2호선,구의,39796,광진구
31760,20240601,2호선,강변,60915,광진구
31852,20240601,2호선,잠실나루,19110,송파구
31944,20240601,2호선,시청,35486,중구
184,20240601,8호선,암사,27928,강동구
32312,20240601,1호선,청량리,47652,동대문구
32496,20240601,1호선,제기동,35250,동대문구
32588,20240601,3호선,압구정,55113,강남구
31392,20240601,2호선,한양대,12151,성동구
32680,20240601,3호선,옥수,16184,성동구
31300,20240601,2호선,상왕십리,22101,성동구
30934,20240601,3호선,을지로3가,17348,중구
29829,20240601,7호선,건대입구,28914,광진구
277,20240601,경인선,온수,10747,구로구
30196,20240601,7호선,숭실대입구,21992,동작구
30288,20240601,신림선,신림,3909,관악구
30472,20240601,3호선,독립문,17356,서대문구
30564,20240601,3호선,무악재,7556,서대문구
30656,20240601,3호선,홍제,31935,서대문구
30748,20240601,3호선,녹번,23042,은평구
30840,20240601,2호선,을지로입구,91362,중구
32956,20240601,3호선,동대입구,24724,중구
34705,20240601,경의선,홍대입구,6880,마포구
34980,20240601,2호선,역삼,40893,강남구
35072,20240601,2호선,강남,122342,강남구
35164,20240601,2호선,서초,25022,서초구
35256,20240601,2호선,방배,22942,서초구
35348,20240601,2호선,낙성대,46258,관악구
35440,20240601,2호선,삼성,73022,강남구
35532,20240601,2호선,서울대입구,78029,관악구
35624,20240601,2호선,신대방,43943,동작구
35716,20240601,2호선,구로디지털단지,78024,구로구
35808,20240601,2호선,문래,32276,영등포구
35900,20240601,2호선,봉천,39233,관악구
35992,20240601,3호선,신사,51258,강남구
32864,20240601,3호선,금호,13043,성동구
34612,20240601,3호선,구파발,37353,은평구
34428,20240601,2호선,신정네거리,16497,양천구
33048,20240601,2호선,잠실새내,45038,송파구
33140,20240601,3호선,경복궁,56982,종로구
33232,20240601,1호선,종각,64019,종로구
33324,20240601,1호선,종로5가,46870,종로구
33416,20240601,3호선,안국,56140,종로구
33508,20240601,2호선,선릉,55127,강남구
33692,20240601,2호선,신촌,77335,마포구
33876,20240601,2호선,이대,28171,마포구
33968,20240601,2호선,아현,18300,마포구
34060,20240601,2호선,용답,4907,성동구
34152,20240601,2호선,신답,2571,성동구
34244,20240601,2호선,도림천,1964,구로구
34336,20240601,2호선,양천구청,10624,양천구
34520,20240601,2호선,용두,4120,동대문구
29736,20240601,6호선,새절,19435,은평구
1564,20240601,7호선,장승배기,14606,동작구
29644,20240601,6호선,응암,28681,은평구
29552,20240601,6호선,역촌,6559,은평구
29645,20240602,6호선,응암,22200,은평구
14363,20240602,3호선,종로3가,14033,종로구
32682,20240602,3호선,옥수,11986,성동구
28274,20240602,경의선,디지털미디어시티,3674,은평구
32865,20240602,3호선,금호,9445,성동구
13993,20240602,5호선,을지로4가,4844,중구
32957,20240602,3호선,동대입구,14043,중구
13175,20240602,4호선,동대문역사문화공원,28104,중구
