사용일자,노선명,역명,등록일자,합계
20240601,8호선,암사,20240604,27928
20240601,7호선,온수(성공회대입구),20240604,12277
20240601,7호선,천왕,20240604,15736
20240601,7호선,광명사거리,20240604,35798
20240601,7호선,철산,20240604,34775
20240601,7호선,가산디지털단지,20240604,29943
20240601,7호선,남구로,20240604,18350
20240601,7호선,대림(구로구청),20240604,18344
20240601,7호선,신풍,20240604,17070
20240601,7호선,보라매,20240604,11531
20240601,7호선,신대방삼거리,20240604,22891
20240601,7호선,장승배기,20240604,14606
20240601,7호선,상도,20240604,18639
20240601,8호선,천호(풍납토성),20240604,28933
20240601,8호선,강동구청,20240604,13780
20240601,8호선,잠실(송파구청),20240604,34455
20240601,9호선,김포공항,20240604,17627
20240601,9호선,개화,20240604,3268
20240601,8호선,남위례,20240604,11528
20240601,8호선,모란,20240604,8234
20240601,8호선,수진,20240604,9097
20240601,8호선,신흥,20240604,9114
20240601,8호선,단대오거리,20240604,18460
20240601,8호선,남한산성입구(성남법원.검찰청),20240604,19352
20240601,8호선,산성,20240604,10956
20240601,8호선,복정,20240604,12915
20240601,8호선,장지,20240604,25522
20240601,8호선,문정,20240604,22293
20240601,8호선,가락시장,20240604,12930
20240601,8호선,송파,20240604,14248
20240601,8호선,석촌,20240604,15803
20240601,8호선,몽촌토성(평화의문),20240604,12225
20240601,7호선,남성,20240604,17412
20240601,7호선,이수,20240604,28371
20240601,7호선,내방,20240604,18727
20240601,7호선,고속터미널,20240604,32356
20240601,7호선,반포,20240604,11510
20240601,7호선,논현,20240604,25872
20240601,7호선,학동,20240604,26088
20240601,7호선,강남구청,20240604,24097
20240601,7호선,청담,20240604,26167
20240601,장항선,신창(순천향대),20240604,2843
20240601,장항선,온양온천,20240604,11103
20240601,장항선,배방,20240604,2777
20240601,장항선,탕정,20240604,3507
20240601,일산선,원흥,20240604,18462
20240601,일산선,지축,20240604,4
20240601,일산선,삼송,20240604,31099
20240601,일산선,원당,20240604,18546
20240601,일산선,화정,20240604,30156
20240601,9호선,공항시장,20240604,5143
20240601,일산선,대곡,20240604,4772
20240601,일산선,마두,20240604,12179
20240601,일산선,정발산,20240604,16306
20240601,일산선,주엽,20240604,17115
20240601,일산선,대화,20240604,23126
20240601,장항선,봉명,20240604,1940
20240601,장항선,쌍용(나사렛대),20240604,4487
20240601,장항선,아산,20240604,8287
20240601,일산선,백석,20240604,17591
20240601,7호선,자양(뚝섬한강공원),20240604,84702
20240601,9호선,신방화,20240604,10844
20240601,9호선,양천향교,20240604,13523
20240601,경강선,성남,20240604,1736
20240601,경강선,여주,20240604,7093
20240601,경강선,세종대왕릉,20240604,915
20240601,경강선,부발,20240604,4811
20240601,경강선,이천,20240604,7265
20240601,경강선,신둔도예촌,20240604,2936
20240601,경강선,곤지암,20240604,4627
20240601,경강선,초월,20240604,5370
20240601,경강선,경기광주,20240604,12336
20240601,9호선,구반포,20240604,1973
20240601,9호선,동작(현충원),20240604,6366
20240601,9호선,흑석(중앙대입구),20240604,14225
20240601,9호선,노들,20240604,9399
20240601,9호선,노량진,20240604,47327
20240601,9호선,샛강,20240604,7806
20240601,9호선,여의도,20240604,36740
20240601,9호선,국회의사당,20240604,13607
20240601,9호선,당산,20240604,31360
20240601,9호선,선유도,20240604,10844
20240601,9호선,신목동,20240604,5528
20240601,9호선,염창,20240604,27527
20240601,9호선,등촌,20240604,17255
20240601,9호선,증미,20240604,8073
20240601,9호선,가양,20240604,34087
20240601,9호선,신반포,20240604,7883
20240601,9호선,고속터미널,20240604,47286
20240601,9호선,사평,20240604,6137
20240601,9호선,신논현,20240604,59026
20240601,경강선,삼동,20240604,3405
20240601,경강선,이매,20240604,1837
20240601,경강선,판교,20240604,7885
20240601,9호선2~3단계,중앙보훈병원,20240604,12903
20240601,9호선2~3단계,둔촌오륜,20240604,1983
20240601,9호선2~3단계,올림픽공원(한국체대),20240604,33294
20240601,9호선2~3단계,한성백제,20240604,5097
20240601,9호선,마곡나루(서울식물원),20240604,21780
20240601,9호선2~3단계,송파나루,20240604,10458
20240601,9호선2~3단계,석촌고분,20240604,11155
20240601,9호선2~3단계,삼전,20240604,11559
20240601,9호선2~3단계,종합운동장,20240604,8801
20240601,9호선2~3단계,봉은사,20240604,34067
20240601,9호선2~3단계,삼성중앙,20240604,7499
20240601,9호선2~3단계,선정릉,20240604,12056
20240601,9호선2~3단계,언주,20240604,15793
20240601,9호선2~3단계,석촌,20240604,16809
20240601,7호선,어린이대공원(세종대),20240604,28243
20240601,7호선,군자(능동),20240604,23404
20240601,7호선,중곡,20240604,15797
20240601,5호선,양평,20240604,8913
20240601,5호선,오목교(목동운동장앞),20240604,36435
20240601,5호선,목동,20240604,26966
20240601,5호선,신정(은행정),20240604,19050
20240601,5호선,까치산,20240604,45914
20240601,5호선,화곡,20240604,44886
20240601,5호선,우장산,20240604,23883
20240601,5호선,발산,20240604,36221
20240601,5호선,마곡,20240604,15588
20240601,5호선,송정,20240604,10876
20240601,5호선,김포공항,20240604,16541
20240601,5호선,개화산,20240604,8894
20240601,5호선,방화,20240604,11287
20240601,4호선,남태령,20240604,2276
20240601,4호선,사당,20240604,50637
20240601,5호선,영등포구청,20240604,5541
20240601,4호선,총신대입구(이수),20240604,35379
20240601,5호선,영등포시장,20240604,21900
20240601,5호선,여의도,20240604,35624
20240601,5호선,마장,20240604,9023
20240601,5호선,왕십리(성동구청),20240604,9204
20240601,5호선,행당,20240604,12044
20240601,5호선,신금호,20240604,10664
20240601,5호선,청구,20240604,5848
20240601,5호선,동대문역사문화공원(DDP),20240604,3533
20240601,5호선,을지로4가,20240604,9201
20240601,5호선,종로3가,20240604,40059
20240601,5호선,광화문(세종문화회관),20240604,52861
20240601,5호선,서대문,20240604,19872
20240601,5호선,충정로(경기대입구),20240604,4737
20240601,5호선,애오개,20240604,9157
20240601,5호선,공덕,20240604,18806
20240601,5호선,마포,20240604,18860
20240601,5호선,여의나루,20240604,43345
20240601,5호선,신길,20240604,7880
20240601,4호선,동작(현충원),20240604,4603
20240601,4호선,이촌(국립중앙박물관),20240604,21373
20240601,4호선,신용산,20240604,34414
20240601,3호선,오금,20240604,8727
20240601,3호선,경찰병원,20240604,9369
20240601,3호선,가락시장,20240604,14383
20240601,3호선,수서,20240604,32483
20240601,3호선,일원,20240604,13104
20240601,3호선,대청,20240604,15589
20240601,3호선,학여울,20240604,5313
20240601,3호선,대치,20240604,22692
20240601,3호선,도곡,20240604,8265
20240601,3호선,매봉,20240604,14508
20240601,3호선,양재(서초구청),20240604,48228
20240601,3호선,남부터미널(예술의전당),20240604,47820
20240601,3호선,교대(법원.검찰청),20240604,17057
20240601,3호선,고속터미널,20240604,121453
20240601,3호선,잠원,20240604,8226
20240601,4호선,당고개,20240604,16413
20240601,4호선,상계,20240604,31604
20240601,4호선,노원,20240604,55987
20240601,4호선,창동,20240604,48554
20240601,4호선,삼각지,20240604,15018
20240601,4호선,숙대입구(갈월),20240604,24638
20240601,4호선,서울역,20240604,32657
20240601,4호선,회현(남대문시장),20240604,56518
20240601,4호선,명동,20240604,75139
20240601,4호선,충무로,20240604,42173
20240601,4호선,동대문역사문화공원(DDP),20240604,35083
20240601,5호선,답십리,20240604,23182
20240601,4호선,동대문,20240604,36546
20240601,4호선,한성대입구(삼선교),20240604,25868
20240601,4호선,성신여대입구(돈암),20240604,40130
20240601,4호선,길음,20240604,34844
20240601,4호선,미아사거리,20240604,49073
20240601,4호선,미아(서울사이버대학),20240604,24964
20240601,4호선,수유(강북구청),20240604,59620
20240601,4호선,쌍문,20240604,47076
20240601,4호선,혜화,20240604,73442
